nome_repo,n_estrelas,d_criacao,d_atualizacao,n_releases,linguagem,n_issues,n_issues_fechadas,n_pull_requests
redis/redis,61152,2009-03-21T22:32:25Z,2023-08-22T22:00:02Z,57,C,6133,4207,11832
resume/resume.github.com,60591,2011-02-06T13:39:55Z,2023-08-22T21:12:48Z,0,JavaScript,111,59,263
protocolbuffers/protobuf,60504,2014-08-26T15:52:15Z,2023-08-22T22:41:41Z,139,C++,5682,4947,12447
mermaid-js/mermaid,60303,2014-11-01T23:52:32Z,2023-08-23T00:20:58Z,112,JavaScript,2501,1662,8448
kdn251/interviews,60277,2017-02-14T18:19:25Z,2023-08-23T00:21:01Z,0,Java,52,22,445
reduxjs/redux,59852,2015-05-29T23:53:15Z,2023-08-22T22:32:56Z,74,TypeScript,2010,1972,3807
Fndroid/clash_for_windows_pkg,59789,2018-10-18T22:59:10Z,2023-08-23T00:20:27Z,206,,4496,4277,38
josephmisiti/awesome-machine-learning,59786,2014-07-15T19:11:19Z,2023-08-23T00:20:45Z,0,Python,84,84,1887
twitter/the-algorithm,59590,2023-03-27T14:57:57Z,2023-08-23T00:21:03Z,0,Scala,833,658,30
atom/atom,59553,2012-01-20T18:18:21Z,2023-08-23T00:22:37Z,538,JavaScript,17118,16155,38533
langchain-ai/langchain,59543,2022-10-17T02:58:36Z,2023-08-22T23:37:03Z,218,Python,3394,1037,3954
CompVis/stable-diffusion,59283,2022-08-10T14:36:44Z,2023-08-22T22:00:38Z,0,Jupyter Notebook,643,176,33
adam-p/markdown-here,59111,2012-05-13T03:27:22Z,2023-08-22T20:04:06Z,11,JavaScript,607,308,807
angular/angular.js,59103,2010-01-06T00:34:37Z,2023-08-23T00:22:39Z,0,JavaScript,9039,8648,9073
keras-team/keras,59056,2015-03-28T00:35:42Z,2023-08-23T00:21:23Z,51,Python,11788,11508,8343
Developer-Y/cs-video-courses,59030,2016-10-21T17:02:11Z,2023-08-22T23:28:11Z,0,,0,0,343
nestjs/nest,59004,2017-02-04T20:12:52Z,2023-08-22T22:22:32Z,88,TypeScript,4909,4868,14313
vitejs/vite,58843,2020-04-21T05:03:57Z,2023-08-23T00:26:33Z,325,TypeScript,6110,5671,5916
socketio/socket.io,58793,2010-03-11T18:24:48Z,2023-08-22T23:09:16Z,59,TypeScript,3365,3290,1993
xingshaocheng/architect-awesome,58385,2018-04-06T13:30:58Z,2023-08-23T00:10:23Z,0,,69,22,307
ansible/ansible,58329,2012-03-06T14:58:02Z,2023-08-22T23:45:44Z,30,Python,31639,31079,53938
anuraghazra/github-readme-stats,58319,2020-07-09T10:34:22Z,2023-08-22T23:07:36Z,0,JavaScript,1065,973,1007
jquery/jquery,57767,2009-04-03T15:20:14Z,2023-08-22T23:28:29Z,7,JavaScript,2265,2197,6631
h5bp/Front-end-Developer-Interview-Questions,57715,2012-02-09T23:34:10Z,2023-08-22T21:08:29Z,0,Nunjucks,133,127,951
enaqx/awesome-react,57648,2014-08-06T05:31:44Z,2023-08-23T00:22:15Z,0,,96,93,1976
